0	1	2
2	3	3
0	4	7
3	5	6
4	5	1
2	6	6
6	7	1
7	8	7
0	9	7
4	9	8
8	9	3
5	10	7
3	11	2
5	11	5
10	11	2
2	13	6
12	13	1
2	14	2
12	14	5
2	15	7
13	15	7
14	15	2
0	16	7
4	16	7
9	16	7
12	17	1
16	17	1
12	18	4
18	19	2
17	20	6
7	21	7
8	21	7
20	21	1
7	22	7
8	22	8
9	22	4
21	22	7
0	23	8
4	23	7
9	23	8
16	23	7
22	23	3
11	24	5
1	25	8
24	25	1
3	26	1
12	26	6
14	26	5
1	27	1
17	27	5
26	27	1
4	28	2
11	28	5
24	28	5
19	29	7
19	30	8
29	30	8
18	31	6
6	32	6
13	32	6
15	32	6
21	32	1
31	32	1
0	33	2
1	33	9
19	33	1
25	33	8
12	34	3
18	34	8
26	34	4
31	34	6
0	35	1
19	35	8
29	35	7
30	35	8
34	35	2
12	36	3
18	36	3
19	36	2
20	36	1
1	37	8
25	37	8
33	37	8
36	37	1
12	38	6
14	38	7
16	38	1
18	38	4
26	38	5
28	38	1
6	39	6
13	39	6
15	39	7
32	39	7
38	39	2
3	40	6
7	40	1
0	41	7
4	41	7
8	41	2
9	41	8
16	41	8
23	41	7
40	41	1
18	42	2
26	42	3
29	42	1
34	42	3
12	43	6
14	43	5
26	43	7
31	43	4
36	43	2
38	43	5
42	43	2
19	44	3
30	44	3
35	44	3
1	45	8
13	45	1
25	45	8
33	45	8
37	45	8
44	45	1
21	46	2
2	47	6
6	47	7
15	47	6
22	47	1
32	47	6
39	47	6
46	47	1
44	48	6
32	49	1
46	49	8
48	49	2
11	50	5
24	50	5
28	50	6
30	50	1
8	51	7
21	51	7
22	51	7
40	51	1
50	51	3
3	52	7
5	52	5
40	52	6
25	53	1
46	53	8
48	53	3
49	53	9
52	53	1
14	54	4
18	54	7
31	54	7
34	54	6
38	54	5
39	54	2
6	55	1
19	55	7
29	55	7
30	55	7
31	55	3
35	55	7
54	55	2
27	56	7
1	57	1
42	57	1
44	57	6
48	57	6
56	57	1
3	58	1
6	58	1
17	58	1
36	58	2
36	59	2
58	59	4
2	60	7
6	60	6
10	60	1
13	60	6
15	60	6
39	60	6
47	60	6
59	60	1
18	61	6
26	61	3
31	61	7
34	61	7
43	61	3
47	61	1
54	61	6
17	62	5
20	62	5
27	62	6
45	62	2
56	62	6
61	62	1
27	63	2
42	63	1
58	63	3
59	63	3
2	64	7
6	64	7
9	64	1
13	64	6
32	64	6
47	64	6
60	64	6
63	64	1
0	65	1
17	65	6
20	65	6
27	65	6
56	65	5
63	65	2
24	66	1
44	66	6
48	66	6
59	66	2
65	66	1
16	67	3
41	67	3
46	67	8
49	67	8
53	67	8
7	68	7
8	68	7
15	68	1
21	68	7
22	68	7
50	68	3
51	68	8
67	68	1
4	69	2
11	69	5
24	69	5
28	69	6
50	69	5
20	70	5
27	70	6
43	70	1
56	70	6
62	70	6
65	70	5
69	70	2
14	71	4
18	71	7
31	71	6
34	71	6
38	71	4
54	71	8
60	71	1
61	71	6
2	72	3
3	72	7
10	72	5
40	72	7
52	72	5
71	72	1
7	73	2
46	73	8
49	73	8
53	73	8
67	73	8
2	74	3
3	74	8
5	74	5
10	74	5
40	74	5
52	74	7
72	74	7
73	74	1
20	75	2
44	75	6
48	75	6
57	75	6
66	75	7
20	76	6
27	76	6
56	76	6
59	76	3
62	76	6
66	76	3
70	76	7
75	76	3
7	77	9
8	77	7
21	77	7
22	77	7
51	77	7
73	77	2
7	78	7
8	78	7
22	78	8
23	78	3
28	78	2
50	78	4
51	78	8
68	78	8
77	78	7
19	79	7
29	79	8
30	79	8
31	79	3
35	79	7
43	79	2
55	79	8
29	80	5
37	80	2
79	80	3
3	81	5
5	81	6
10	81	6
16	81	1
40	81	5
72	81	5
7	82	2
29	82	4
30	82	3
39	82	2
74	82	1
77	82	2
